La,x,y
99.4,15.07344818,6.890942436
99.4,15.04593778,10.5163053
99.4,15.04627707,12.69153207
99.4,15.10286234,15.47101866
99.4,15.1317393,20.60698583
99.4,15.04845415,26.64923717
99.4,15.19042625,36.86079378
99.4,15.44498457,48.88509969
99.4,16.2055023,64.71632387
99.4,17.3310346,80.72901298
99.4,19.69209365,97.95082489
99.4,22.75413526,109.3119861
99.4,26.96548742,109.1329791
99.4,31.82051118,95.66126647
99.4,37.29236527,76.81224162
78.6,15.69131522,8.160156463
78.6,15.66339015,9.126908837
78.6,15.66353152,10.03325332
78.6,15.63580436,12.26888798
78.6,15.72011679,12.81273991
78.6,15.74889008,17.28405446
78.6,15.69348288,22.05743859
78.6,15.69468923,29.79157822
78.6,15.63963074,36.80061209
78.6,15.69745063,47.49550719
78.6,16.12095425,62.66189779
78.6,17.3869413,79.15804602
78.6,19.52338397,96.31931434
78.6,22.58531248,106.9554
78.6,26.76861705,106.9576468
78.6,31.8486059,95.78212748
78.6,37.2078832,75.18077631
62.2,16.78650033,9.610895737
62.2,16.75867892,11.24230073
62.2,16.73077269,12.32989904
62.2,16.70306438,14.68637963
62.2,16.73167746,18.13050375
62.2,16.76036592,22.05801161
62.2,16.78945965,28.58370699
62.2,16.76241106,35.16979519
62.2,16.79251322,48.16074791
62.2,16.73835949,60.9703865
62.2,17.44286685,77.707925
62.2,19.66332036,93.47951034
62.2,22.66900289,103.5113362
62.2,26.62765338,103.2113475
62.2,31.70771762,92.51921193
62.2,37.29214851,75.42251341
49.3,18.9765878,10.69968531
49.3,18.94876639,12.33109031
49.3,18.977125,14.14379436
49.3,18.97736061,15.65436851
49.3,18.94970885,18.37338689
49.3,18.97832192,21.81751102
49.3,19.03559519,29.0078741
49.3,18.92479965,38.67548831
49.3,19.01028073,46.711788
49.3,18.98464583,62.36132106
49.3,18.9584266,74.26463024
49.3,19.55040429,89.55195725
49.3,22.80866597,98.91926615
49.3,26.45874578,100.3109547
49.3,31.62315073,90.34393993
49.3,37.26365796,72.76388783
39.2,22.51447723,12.81638911
39.2,22.51476939,14.68950105
39.2,22.51521234,17.52938044
39.2,22.51545738,19.10037755
39.2,22.5162302,24.05506075
39.2,22.48897427,29.31184369
39.2,22.51798318,35.29373238
39.2,22.49139639,44.8405459
39.2,22.4934698,58.13359837
39.2,22.49543012,70.70157526
39.2,22.49775799,85.62604781
39.2,23.03259436,94.56893325
39.2,26.73875051,95.47726821
39.2,31.65047263,85.51011774
39.2,37.20670513,67.62790558
31.2,27.40009322,15.47762341
31.2,27.37214929,16.32352986
31.2,27.42852722,17.77371119
31.2,27.37260167,19.22383221
31.2,27.37306348,22.18455754
31.2,27.34554366,25.74949744
31.2,27.40243052,30.46251893
31.2,27.4033824,36.56523847
31.2,27.34879514,46.59542064
31.2,27.34997322,54.14829136
31.2,27.37996228,66.41416849
31.2,27.32587453,79.64676784
31.2,27.43964824,89.07281082
31.2,31.73385202,80.07209606
31.2,37.4874921,67.80932527
24.9,33.43679158,17.95820707
24.9,33.38082834,19.16663623
24.9,33.40908327,20.31468766
24.9,33.24084482,21.7043254
24.9,33.29723218,23.2149297
24.9,33.18532453,25.75263394
24.9,33.41049696,29.37813253
24.9,33.32740973,36.68926615
24.9,33.32830507,42.4294479
24.9,33.38580452,51.06996216
24.9,33.38765174,62.91286346
24.9,33.30524308,74.57445062
24.9,33.41867751,81.82526683
24.9,33.36269542,82.91285005
24.9,33.36187548,77.65605203
24.9,37.8520166,64.84879598
20,39.95077974,20.43904708
20,39.92289236,21.64749132
20,39.95115672,22.85596571
20,39.95125097,23.46019537
20,39.9796944,25.81670611
20,39.89587204,28.4148484
20,39.95254214,31.73814168
20,39.89719149,36.87406361
20,40.01057879,43.822765
20,39.98324747,48.59616421
20,39.92882985,59.71395976
20,39.92902777,60.98284204
20,39.95830056,68.65657378
20,39.95896029,72.88618138
20,39.95920532,74.45717849
20,39.93128967,75.48435383
16.2,46.57725043,24.06798375
16.2,46.54932536,25.03473613
16.2,46.52145683,26.36402629
16.2,46.57788188,28.11632246
16.2,46.54992853,28.90180594
16.2,46.55015472,30.35195712
16.2,46.57918248,36.45469174
16.2,46.60804059,41.46981298
16.2,46.60898305,47.51210956
16.2,46.6380108,53.61484418
16.2,46.55481047,60.20090221
16.2,46.58305598,61.28853068
16.2,46.63993342,65.9411292
16.2,46.61242302,69.56649207
13.1,53.3720821,27.09278125
13.1,53.40038416,28.5429475
13.1,53.37249679,29.75139174
13.1,53.34451516,30.35560632
13.1,53.28890062,33.79968521
13.1,53.40170361,37.00216271
13.1,53.34599482,39.84201195
13.1,53.2906536,45.03835685
13.1,53.43200368,51.26199772
13.1,53.34800226,52.71210366
13.1,53.37624777,53.79973212
13.1,53.40491739,57.60639405
13.1,53.40527553,59.90246675
13.1,53.43359644,61.47347894
10.7,59.57731109,30.05683911
10.7,59.52129129,30.90273047
10.7,59.60566969,31.86954316
10.7,59.54971587,33.13839528
10.7,59.63419794,34.7698606
10.7,59.52245994,38.39517823
10.7,59.63541372,42.56442318
10.7,59.66412103,46.61277697
10.7,59.63682741,51.62786805
10.7,59.63711957,53.50097999
10.7,59.58115632,54.70940915
10.7,59.58138251,56.15956033
8.9,64.94009434,31.9328312
8.9,64.85610235,33.44336011
8.9,64.94059384,35.13524839
8.9,64.91295151,37.91468974
8.9,64.91340389,40.81499209
8.9,64.8856673,42.99020378
8.9,64.94239394,46.67603485
8.9,64.99908288,50.12017406
8.9,64.97117666,51.20777237
8.9,65.02746034,52.05372405
7.4,69.85347519,32.60012271
7.4,69.82579515,35.1378722
7.4,69.88244639,38.34031954
7.4,69.85458729,39.73003268
7.4,69.82713344,43.71793334
7.4,69.82738791,45.34935341
7.4,69.79993406,49.33725408
7.4,69.80003773,50.0019067
6.2,74.06485563,32.60238462
6.2,74.09305401,33.38789825
6.2,74.09321423,34.41508867
6.2,74.09333675,35.20058722
6.2,74.06561902,37.49664484
6.2,74.03775049,38.82593501
6.2,74.06614679,40.88033093
6.2,74.09475044,44.26403209
6.2,74.03887202,46.01626794
6.2,74.09536304,48.19152487
6.2,74.06753221,49.7625069
5.3,77.54608439,31.45621811
5.3,77.51813104,32.24170158
5.3,77.51824413,32.96677717
5.3,77.46219606,33.63139964
5.3,77.43422386,34.29603718
5.3,77.46241283,35.02112785
5.3,77.51897925,37.6797685
5.3,77.51932796,39.91541824
5.3,77.54767714,41.66769932
5.3,77.52016675,45.29306219
5.3,77.49229822,46.62235236
5.3,77.52082647,49.5226698
5.3,77.57717613,50.79158224
4.6,80.29738766,30.61177436
4.6,80.32581224,32.84743917
4.6,80.29793429,34.11630638
4.6,80.27009403,35.62686544
4.6,80.32661333,37.98339127
4.6,80.32697147,40.27946397
4.6,80.38390545,45.29460028
4.6,80.27195068,47.5301897
4.1,82.51535308,30.43169673
4.1,82.45939926,31.70054885
4.1,82.48770132,33.15071511
4.1,82.43184175,35.02379689
4.1,82.54505941,40.88488489
4.1,82.46135958,44.26852574
