Ld,x,y
39.9,15.05428643,7.250755287
39.9,15.72819129,8.157099698
39.9,16.82328668,9.516616314
39.9,18.92923936,10.60422961
39.9,22.59359702,12.68882175
39.9,27.35305008,15.04531722
39.9,33.20759852,17.85498489
39.9,39.82028994,20.21148036
39.9,46.72781472,24.01812689
39.9,59.57412607,30
39.9,64.88112682,31.72205438
39.9,69.85117514,32.62839879
39.9,74.0630805,32.26586103
39.9,77.64320005,31.63141994
39.9,80.33881948,30.63444109
39.9,82.44477216,30
32.9,15.01216738,8.610271903
32.9,15.93878655,9.244712991
32.9,16.78116763,10.1510574
32.9,19.13983463,12.14501511
32.9,22.55147797,14.50151057
32.9,27.22669291,15.95166163
32.9,33.29183663,18.85196375
32.9,40.07300426,21.75226586
32.9,46.51721945,24.9244713
32.9,53.38262519,27.64350453
32.9,53.29838708,27.82477341
32.9,59.4477689,30.63444109
32.9,65.00748398,31.90332326
32.9,69.80905609,32.35649547
32.9,74.31579482,32.17522659
32.9,77.51684289,31.63141994
32.9,80.33881948,30.90634441
32.9,82.23417689,30.18126888
27.1,15.13852454,9.96978852
27.1,15.8966675,10.87613293
27.1,16.78116763,12.14501511
27.1,18.92923936,13.6858006
27.1,22.50935891,14.7734139
27.1,27.39516913,17.22054381
27.1,33.33395568,19.8489426
27.1,39.90452804,21.29909366
27.1,46.64357662,24.56193353
27.1,53.42474424,27.73413897
27.1,59.61624512,30.27190332
27.1,64.83900776,31.63141994
27.1,69.80905609,32.44712991
27.1,74.1473186,32.44712991
27.1,77.47472384,31.45015106
27.1,80.21246232,30.54380665
27.1,82.40265311,30.09063444
22.3,14.92792927,12.32628399
22.3,15.60183413,12.41691843
22.3,16.82328668,14.95468278
22.3,19.05559652,15.40785498
22.3,22.63571607,17.22054381
22.3,27.39516913,19.03323263
22.3,33.37607474,21.57099698
22.3,39.9466471,23.11178248
22.3,46.55933851,26.4652568
22.3,53.59322046,28.73111782
22.3,59.40564985,30.99697885
22.3,64.83900776,32.44712991
22.3,69.80905609,32.62839879
18.4,15.05428643,15.58912387
18.4,15.51759602,17.22054381
18.4,16.90752479,17.76435045
18.4,18.97135841,18.48942598
18.4,22.38300175,19.30513595
18.4,27.39516913,22.02416918
18.4,33.41819379,23.20241692
18.4,39.82028994,26.28398792
18.4,46.55933851,27.09969789
18.4,53.29838708,28.82175227
18.4,59.53200701,31.5407855
18.4,65.13384114,32.08459215
18.4,69.89329419,32.90030211
18.4,74.0630805,32.62839879
18.4,77.43260478,31.17824773
18.4,80.04398611,30.45317221
18.4,82.14993878,29.63746224
15.1,15.09640548,20.75528701
15.1,15.60183413,22.02416918
15.1,16.69692952,21.8429003
15.1,19.05559652,22.20543807
15.1,22.50935891,24.10876133
15.1,27.43728818,25.92145015
15.1,33.46031284,25.83081571
15.1,39.86240899,28.82175227
15.1,46.60145756,28.27794562
15.1,53.38262519,29.45619335
15.1,59.61624512,32.90030211
15.1,64.96536492,32.53776435
15.1,69.72481798,33.081571
15.1,74.0630805,32.62839879
15.1,77.47472384,31.63141994
15.1,80.33881948,30.54380665
15.1,82.318415,30.18126888
12.5,15.22276264,26.64652568
12.5,15.47547697,29.18429003
12.5,16.69692952,28.54984894
12.5,18.97135841,29.18429003
12.5,22.46723986,29.18429003
12.5,27.39516913,30.09063444
12.5,33.41819379,29.36555891
12.5,40.07300426,32.17522659
12.5,46.60145756,30.09063444
12.5,53.38262519,33.26283988
12.5,59.48988796,34.53172205
12.5,64.96536492,34.07854985
12.5,69.93541325,33.17220544
12.5,74.10519955,31.90332326
